epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9841,1.06892,1.73645,1.58001,1.71909,0.79632,0.81916,0.8736,0.50085,0.80083,0.82619,0.86319,0.46655,1.3989,2.08161,1.02275,2.307,0.000664983,0.000664983,0.000664983
2,156.191,1.0751,1.65865,0.87732,1.73166,0.9497,0.89904,0.95261,0.61321,0.91545,0.85714,0.88152,0.47533,1.2515,2.39016,0.84528,2.36207,0.00132506,0.00132506,0.00132506
3,230.825,1.01851,1.65825,0.82434,1.67907,0.90274,0.92857,0.96258,0.64209,0.92895,0.93333,0.96856,0.66944,1.17739,1.56965,0.82511,2.16552,0.00197853,0.00197853,0.00197853
4,305.665,0.98843,1.58494,0.76889,1.65004,0.95514,0.95952,0.98095,0.71036,0.94274,0.94079,0.96923,0.63939,1.02201,1.6281,0.63827,2.04607,0.0019703,0.0019703,0.0019703
5,379.269,0.9225,1.48726,0.7079,1.58614,0.94935,0.93718,0.97753,0.70074,0.94692,0.94048,0.969,0.63238,1.05173,1.58398,0.68696,2.05258,0.0019604,0.0019604,0.0019604
6,452.314,0.86679,1.41611,0.65591,1.54098,0.95647,0.95714,0.97741,0.73187,0.96187,0.96107,0.98151,0.73273,0.9531,1.19318,0.58618,1.94607,0.0019505,0.0019505,0.0019505
7,526.273,0.81809,1.35838,0.62178,1.49539,0.97345,0.97857,0.9922,0.75484,0.96635,0.97143,0.98401,0.72543,0.86715,1.33356,0.49985,1.82378,0.0019406,0.0019406,0.0019406
8,601.701,0.80439,1.32333,0.6044,1.48726,0.98091,0.97885,0.98752,0.80905,0.97853,0.97647,0.98521,0.72228,0.72103,1.31361,0.43445,1.6256,0.0019307,0.0019307,0.0019307
9,679.536,0.80792,1.32203,0.60374,1.47786,0.97952,0.97857,0.98989,0.79244,0.97952,0.97857,0.98989,0.78193,0.75836,1.15004,0.46478,1.63852,0.0019208,0.0019208,0.0019208
10,754.023,0.76596,1.25495,0.57394,1.44312,0.9716,0.97736,0.98975,0.77397,0.9716,0.97736,0.98975,0.77257,0.78837,1.07364,0.47688,1.70909,0.0019109,0.0019109,0.0019109
11,829.203,0.74194,1.23821,0.55136,1.41945,0.98073,0.98095,0.99172,0.81414,0.98803,0.98304,0.99186,0.78245,0.70131,1.04099,0.44231,1.6161,0.001901,0.001901,0.001901
12,904.465,0.72632,1.20604,0.54631,1.40278,0.98677,0.97619,0.9924,0.82396,0.98918,0.97857,0.99316,0.81891,0.67423,0.92083,0.41775,1.53978,0.0018911,0.0018911,0.0018911
13,980.575,0.71526,1.18232,0.52778,1.39967,0.97374,0.97098,0.99066,0.81542,0.97135,0.9686,0.98987,0.8002,0.70791,0.99491,0.4373,1.55706,0.0018812,0.0018812,0.0018812
14,1055.17,0.70747,1.1894,0.51802,1.38087,0.96002,0.97381,0.98945,0.81218,0.96002,0.97381,0.98945,0.80275,0.67519,0.9352,0.43435,1.5501,0.0018713,0.0018713,0.0018713
15,1129.9,0.69336,1.14625,0.50939,1.37471,0.99041,0.98324,0.99406,0.80914,0.99041,0.98324,0.99406,0.80858,0.69946,0.92583,0.41173,1.62264,0.0018614,0.0018614,0.0018614
16,1204.48,0.67201,1.15024,0.50059,1.35765,0.98795,0.9881,0.99395,0.84478,0.98795,0.9881,0.99395,0.8274,0.62141,0.87833,0.36075,1.48488,0.0018515,0.0018515,0.0018515
17,1278.74,0.65647,1.11427,0.48959,1.34467,0.98568,0.98321,0.99324,0.84855,0.98568,0.98321,0.99324,0.82433,0.61591,0.92478,0.38837,1.44942,0.0018416,0.0018416,0.0018416
18,1352.83,0.65181,1.10729,0.49437,1.33717,0.99038,0.98008,0.99367,0.83124,0.99038,0.98008,0.99367,0.80936,0.62719,0.91208,0.35972,1.51779,0.0018317,0.0018317,0.0018317
19,1426.7,0.65468,1.11374,0.48605,1.3407,0.99044,0.98706,0.99368,0.84394,0.99044,0.98706,0.99368,0.82627,0.61441,0.87569,0.35893,1.45253,0.0018218,0.0018218,0.0018218
20,1501.15,0.63588,1.08607,0.45888,1.3266,0.98556,0.9753,0.99332,0.84501,0.98556,0.9753,0.99332,0.83532,0.6138,0.87398,0.37741,1.46471,0.0018119,0.0018119,0.0018119
21,1575.11,0.62651,1.08891,0.45444,1.31262,0.97145,0.99286,0.99351,0.85375,0.96962,0.99048,0.99344,0.79996,0.5812,0.9629,0.36426,1.42913,0.001802,0.001802,0.001802
22,1649.32,0.63811,1.09404,0.47031,1.31589,0.98793,0.97456,0.99195,0.84032,0.99033,0.97488,0.99238,0.8346,0.60387,0.84149,0.37045,1.47032,0.0017921,0.0017921,0.0017921
23,1723.52,0.60245,1.04616,0.45674,1.29139,0.98341,0.98808,0.9935,0.83902,0.98341,0.98808,0.99352,0.83688,0.58622,0.83564,0.35752,1.42626,0.0017822,0.0017822,0.0017822
24,1797.46,0.62431,1.05534,0.45993,1.31722,0.99235,0.99048,0.9942,0.86224,0.99235,0.99048,0.9942,0.83874,0.58684,0.85485,0.33796,1.4381,0.0017723,0.0017723,0.0017723
25,1871.43,0.61485,1.07075,0.4485,1.29209,0.98341,0.98779,0.99425,0.8661,0.98341,0.98779,0.99425,0.81158,0.56796,0.97449,0.3433,1.41421,0.0017624,0.0017624,0.0017624
26,1944.11,0.61148,1.06383,0.44572,1.29205,0.98016,0.98571,0.99177,0.85501,0.98258,0.9881,0.99244,0.83988,0.57527,0.828,0.35191,1.42291,0.0017525,0.0017525,0.0017525
27,2017.74,0.58701,1.03556,0.43578,1.27428,0.9717,0.98333,0.98796,0.8529,0.9717,0.98333,0.98796,0.83826,0.54432,0.82614,0.35249,1.37868,0.0017426,0.0017426,0.0017426
28,2091.59,0.59293,1.02824,0.42966,1.27835,0.97881,0.98994,0.99244,0.87373,0.97881,0.98994,0.99244,0.84435,0.52498,0.83782,0.3245,1.36312,0.0017327,0.0017327,0.0017327
29,2166.06,0.61585,1.03378,0.45686,1.29604,0.97869,0.9843,0.99369,0.86304,0.98102,0.98447,0.99379,0.85143,0.52344,0.79995,0.34911,1.37131,0.0017228,0.0017228,0.0017228
30,2240.53,0.59257,1.01231,0.441,1.2746,0.98117,0.99259,0.99229,0.86235,0.98117,0.99259,0.99229,0.84126,0.55097,0.84126,0.35144,1.39289,0.0017129,0.0017129,0.0017129
31,2314.2,0.58175,1.0204,0.43155,1.27189,0.98809,0.98751,0.9939,0.8743,0.98809,0.98751,0.9939,0.85258,0.52479,0.81182,0.32387,1.37671,0.001703,0.001703,0.001703
32,2387.52,0.56767,0.9948,0.42211,1.25678,0.98274,0.9881,0.99169,0.87478,0.98511,0.99048,0.99176,0.84932,0.5204,0.82408,0.31217,1.3578,0.0016931,0.0016931,0.0016931
33,2461.96,0.57329,1.00308,0.43561,1.24811,0.98803,0.98279,0.99347,0.87422,0.98803,0.98279,0.99347,0.8612,0.51652,0.80945,0.33055,1.3665,0.0016832,0.0016832,0.0016832
34,2536.1,0.57583,1.00373,0.42303,1.2661,0.98469,0.99048,0.99082,0.87247,0.98469,0.99048,0.99082,0.85704,0.51846,0.78662,0.3166,1.35225,0.0016733,0.0016733,0.0016733
35,2609.52,0.55468,0.99222,0.41074,1.2348,0.98075,0.9881,0.99333,0.87819,0.98075,0.9881,0.99333,0.85574,0.49265,0.79552,0.30644,1.3391,0.0016634,0.0016634,0.0016634
36,2683.08,0.56324,1.0101,0.41505,1.24956,0.9674,0.98903,0.99213,0.87658,0.9674,0.98903,0.99213,0.85504,0.48491,0.79778,0.30618,1.3264,0.0016535,0.0016535,0.0016535
37,2756.61,0.55623,0.98251,0.41069,1.23838,0.97646,0.9878,0.9919,0.87636,0.97646,0.9878,0.9919,0.85282,0.50211,0.79232,0.30994,1.34213,0.0016436,0.0016436,0.0016436
38,2830.04,0.5447,0.96037,0.41173,1.22947,0.98805,0.98391,0.99355,0.88631,0.98805,0.98391,0.99355,0.84686,0.51374,0.83064,0.31753,1.35313,0.0016337,0.0016337,0.0016337
39,2903.9,0.55117,0.97769,0.40369,1.23471,0.9857,0.98502,0.99362,0.88593,0.9857,0.98502,0.99362,0.85486,0.49008,0.80654,0.2909,1.33538,0.0016238,0.0016238,0.0016238
40,2977.59,0.54276,0.9549,0.3927,1.22572,0.97732,0.98095,0.99325,0.88064,0.97732,0.98095,0.99325,0.86289,0.47906,0.75501,0.31213,1.30253,0.0016139,0.0016139,0.0016139
41,3050.75,0.5417,0.95522,0.40071,1.22692,0.97652,0.99003,0.99303,0.88467,0.97652,0.99003,0.99303,0.86442,0.49,0.75431,0.30723,1.30798,0.001604,0.001604,0.001604
42,3124.15,0.54397,0.95128,0.40141,1.23113,0.97585,0.98571,0.99293,0.88224,0.97585,0.98571,0.99293,0.85976,0.4765,0.78117,0.31033,1.30631,0.0015941,0.0015941,0.0015941
43,3197.58,0.53824,0.94744,0.39378,1.22269,0.98809,0.98795,0.9942,0.88143,0.98809,0.98795,0.9942,0.86148,0.48643,0.77631,0.28666,1.32833,0.0015842,0.0015842,0.0015842
44,3270.85,0.53212,0.94645,0.39512,1.21601,0.98019,0.98571,0.99247,0.87482,0.98019,0.98571,0.99247,0.86501,0.49612,0.77523,0.31718,1.31668,0.0015743,0.0015743,0.0015743
45,3344.48,0.55157,0.94635,0.40714,1.23323,0.98109,0.98804,0.99313,0.89238,0.98109,0.98804,0.99313,0.86771,0.4746,0.77251,0.29346,1.30638,0.0015644,0.0015644,0.0015644
46,3417.5,0.53908,0.93155,0.39382,1.21856,0.99478,0.98333,0.99467,0.88697,0.99478,0.98333,0.99467,0.87669,0.48258,0.73522,0.30018,1.32638,0.0015545,0.0015545,0.0015545
47,3491.25,0.5204,0.93104,0.38511,1.20682,0.97662,0.99462,0.9935,0.88425,0.97662,0.99462,0.9935,0.86199,0.48108,0.76816,0.29306,1.30417,0.0015446,0.0015446,0.0015446
48,3564.98,0.53107,0.94184,0.39166,1.21851,0.9834,0.9876,0.99447,0.89624,0.9834,0.9876,0.99447,0.86299,0.4695,0.77548,0.27448,1.28736,0.0015347,0.0015347,0.0015347
49,3638.9,0.51083,0.92152,0.37661,1.20135,0.99201,0.9881,0.994,0.89207,0.99201,0.9881,0.994,0.86718,0.45858,0.72879,0.27421,1.26519,0.0015248,0.0015248,0.0015248
50,3712,0.52594,0.92743,0.38316,1.21241,0.99155,0.98571,0.99376,0.89407,0.99155,0.98571,0.99376,0.87245,0.47187,0.7557,0.2727,1.28575,0.0015149,0.0015149,0.0015149
51,3785.88,0.52892,0.91181,0.38173,1.20859,0.99036,0.99286,0.99275,0.89492,0.99036,0.99286,0.99275,0.86834,0.46127,0.75332,0.28212,1.24073,0.001505,0.001505,0.001505
52,3859.18,0.51248,0.93227,0.37927,1.1996,0.98797,0.99286,0.99353,0.88713,0.98797,0.99286,0.99353,0.86509,0.45629,0.78738,0.28717,1.26563,0.0014951,0.0014951,0.0014951
53,3932.51,0.5324,0.91966,0.39461,1.21454,0.98324,0.99048,0.9928,0.89293,0.98324,0.99048,0.9928,0.86547,0.44416,0.76231,0.27887,1.24054,0.0014852,0.0014852,0.0014852
54,4006.2,0.50671,0.90757,0.37939,1.19377,0.99374,0.98571,0.99394,0.90342,0.99374,0.98571,0.99394,0.88137,0.44948,0.7391,0.25508,1.26449,0.0014753,0.0014753,0.0014753
55,4079.62,0.5143,0.9173,0.38409,1.20547,0.98574,0.98742,0.99397,0.90216,0.98574,0.98742,0.99397,0.87865,0.44814,0.74006,0.27312,1.26765,0.0014654,0.0014654,0.0014654
56,4153.25,0.50462,0.91565,0.37683,1.18896,0.99716,0.98571,0.99416,0.89812,0.99716,0.98571,0.99416,0.87766,0.45854,0.72204,0.26483,1.25366,0.0014555,0.0014555,0.0014555
57,4226.56,0.50666,0.90271,0.37276,1.19185,0.9834,0.98714,0.99397,0.89843,0.9834,0.98714,0.99397,0.86807,0.44865,0.72206,0.27258,1.25688,0.0014456,0.0014456,0.0014456
58,4300.19,0.493,0.88343,0.35848,1.1808,0.9928,0.98519,0.99418,0.90097,0.9928,0.98519,0.99418,0.86685,0.44185,0.72563,0.25143,1.25398,0.0014357,0.0014357,0.0014357
59,4373.58,0.50486,0.8935,0.36759,1.19022,0.99185,0.98571,0.99395,0.89385,0.99185,0.98571,0.99395,0.87441,0.46615,0.73356,0.27128,1.27799,0.0014258,0.0014258,0.0014258
